,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
17280,Metaphor Systems,2021-01-01,https://metaphor.systems/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Online Portals, SaaS, Search Engine, Software",129648.0,Metaphor is a search engine that uses large language models. The company was founded in 2021 and is based in New York.,1-10,2.0,Seed,2021-09-21,0.0,Seed,0.0,2.0,1-10,Private,,,,,,2,3,2021,16468,False,False
17307,Dragonfruit AI,2019-01-01,https://dragonfruit.ai/,"Menlo Park, California, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video","Analytics, Artificial Intelligence (AI), Machine Learning, Video",129927.0,"Dragonfruit AI develops an enterprise video AI platform that provides video analytics at scale. It helps enterprises leverage their existing video infrastructure to remotely manage all their locations, investigate incidents centrally for safety and loss prevention, optimize occupancy across buildings, and combine real-world traffic with revenue data to deliver actionable insights.",11-50,2.0,Seed,2022-03-28,0.0,Seed,0.0,3.0,11-50,Private,,,5.0,0.0,Electric Communication Technique,2,5,2019,16493,False,False
17347,Storytell.ai,2022-01-01,https://www.storytell.ai/,"San Mateo, California, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Creative Agency, Machine Learning",130259.0,Storytell.ai uses artificial intelligence to distill valuable moments from the noise of everyday life.,11-50,1.0,Seed,2022-10-06,0.0,Pre-Seed,0.0,,11-50,Private,,,,,,2,2,2022,16529,False,False
17361,dcyd,2020-01-07,http://www.dcyd.io,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Business Intelligence, Machine Learning, Predictive Analytics, SaaS",130349.0,"dcyd has two SaaS products, dash and spot. dash is one-click AI that automates optimal decisions, such as dynamic pricing, lead prioritization, and customer targeting. It’s for teams that want to make transparent, automated decisions that improve their metrics—without sinking millions into technical talent to reinvent the wheel. spot, for Data Orgs struggling to manage scads of interdependent models and algorithms, learns the data graph behind your automated decisions and alerts what to fix to recover the most value.",1-10,1.0,Seed,2020-07-08,150000.0,Pre-Seed,150000.0,1.0,1-10,Private,,,,,,0,4,2020,16541,False,False
17410,Splynt,2020-03-20,https://splynt.co/,"Oklahoma City, Oklahoma, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), First Aid, Health Care, Machine Learning, Software",130840.0,On demand telemedicine for athletic and occupational injuries. AI injury analysis and care recommendations. The new era of injury management.,1-10,1.0,Seed,2023-04-12,100000.0,Pre-Seed,100000.0,2.0,1-10,Private,,,,,,0,3,2020,16585,False,False
17416,Bunkerhill Health,2019-01-01,http://www.bunkerhillhealth.com/,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Health Diagnostics",130901.0,"Bunkerhill Health is a group of academic institutions that together develop, test, and deploy AI algorithms in accordance with a set of processes.",1-10,2.0,Seed,2020-12-01,0.0,Seed,0.0,2.0,1-10,Private,,,,,,2,5,2019,16590,False,False
17424,Incosplay,2022-01-01,https://incosplay.top,"Dover, Delaware, United States","Advertising, Apps, Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Science and Engineering, Software","Advertising, Artificial Intelligence (AI), Content, Media and Entertainment, Mobile Apps, Social Media",131011.0,"Inсosplay is designed to be the premier platform for connecting passionate cosplayers, fostering creativity. By providing a tailored environment for like-minded individuals to share their artistic visions, Inсosplay facilitates meaningful interactions, feedback, and inspiration. With our focus on nurturing the cosplay community, we enable creators to not only showcase their projects but also support fellow cosplayers in their artistic endeavors.",11-50,1.0,Seed,2022-01-05,145000.0,Pre-Seed,145000.0,1.0,11-50,Private,,,,,,0,2,2022,16598,False,False
17441,UPJAUNT,2019-01-02,https://www.upjaunt.com/,"New York, New York, United States","Apps, Artificial Intelligence (AI), Commerce and Shopping, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Science and Engineering, Software, Travel and Tourism","Artificial Intelligence (AI), Location Based Services, Mobile Apps, Photo Sharing, Social Network, Social Shopping, Travel",131139.0,"UPJAUNT is an AI-connector for travelers, professionals and businesses to discover and connect around interests and shared stories. Travelers discover, off-the-beaten-path experiences, itineraries and experts that they can connect with to personalize their travels. Travel experts find the right customer though organic reach. Mohan Ramanujam (Tibco, Brience), Sanjay Raghavan (Grindr, Inquira) founded the company in January 2019, based out of New York, NY and Los Angeles, CA.",1-10,3.0,Seed,2020-09-09,268000.0,Seed,523000.0,2.0,1-10,Private,,,,,,0,5,2019,16613,False,False
17476,SchoolAI: Create. Personalize. Engage.,2021-10-08,https://schoolai.com,"Lehi, Utah, United States","Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Education, Information Services",131448.0,"SchoolAI is a classroom with AI-powered tools that helps schools embrace AI tech for students, teachers, and school leaders. The company aims to magnify the humanity in every school, creating tighter relationships between teachers, students, school leaders, and the local community and help schools with professional development to adopt AI to supercharge teachers in their classrooms, empower students for an AI-driven world, and give everyone in the building a more personal experience. Its headquarters is located in Lehi, Utah.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2021,16645,False,False
17506,Datrics,2020-05-05,https://datrics.ai/,"Middletown, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software",131689.0,"Datrics is a self-service data intelligence platform. We supercharge business and analytics teams with a single AI-powered tool to explore data, generate insights and build automated dashboards to share - all without coding. It is as intuitive as Excel, can handle millions of rows and doesn't require coding for insights, advanced analytics and routines automation.",11-50,2.0,Seed,2021-03-10,125000.0,Seed,325000.0,3.0,11-50,Private,,,,,,0,3,2020,16668,False,False
17512,BrightAI,2020-01-01,https://www.bright.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Internet of Things, Mobile",131727.0,"We harness the power of AI to seamlessly convert physical entities into digital counterparts, infusing them with intelligence and control. This catalyzes limitless opportunities for business expansion and fosters positive societal impact. BrightAI is headquartered in Hillsborough, California and was founded in 2020.",51-100,0.0,,,0.0,,0.0,4.0,51-100,Private,,,,,,6,4,2020,16674,False,False
17554,Mutable.ai,2021-01-01,https://mutable.ai,"Dover, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Software",132152.0,MutableAI  is an artificial intelligence software development accelerator. Their recent advances in AI will unlock new ways of programming beyond the pre-AI stack that won't look like a traditional IDE or version control system.,1-10,2.0,Seed,2023-07-13,0.0,Seed,0.0,1.0,1-10,Private,,,,,,2,3,2021,16710,False,False
17571,Merlin,2019-01-01,https://www.merlin.tech,"Centennial, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Software",132309.0,"Merlin creates AI-powered search tools for use in investigations, discovery, ECA, and other scenarios requiring extensive document or email searches and reviews. Their objective was to combine intelligent machine learning algorithms with keywords to make it quicker, simpler, and less expensive to identify pertinent information.",11-50,1.0,Seed,2021-08-30,0.0,Seed,0.0,1.0,11-50,Private,,,,,,2,5,2019,16725,False,False
17573,"Third Ray, Inc.",2020-08-03,https://thirdray.ai,"Dallas, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Sales and Marketing, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Business Intelligence, Data Integration, Data Visualization, Document Management, Image Recognition, Natural Language Processing, Sales Automation, Speech Recognition",132314.0,"Third Ray is an Enterprise Digital Assets Creation and Management Platform backed by an enterprise grade multi-blockchain and low code automation, that enables teams to collaborate on content extraction workflows to develop decentralized apps with enterprise grade security and integration. Sales, marketing, investments, and other back-office teams generate a large volume of structured and unstructured content to make investment decisions and provide customer insight. This information is spread across documents, audio and video, in email, network drives, websites.  ThirdRayAI platform helps efficiently extract, organize, search, and integrate content across teams. Business and non-technical team members can access the right information when they need it through configurable automation, content generation workflow, and contextual search.",11-50,2.0,Seed,2021-11-01,50000.0,Pre-Seed,50000.0,2.0,11-50,Private,,,,,,0,3,2020,16727,False,False
