,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
255,Darwinium,2021-01-01,https://www.darwinium.com/,"San Francisco, California, United States","Fraud Detection, Network Security, Security",11-50,598,"Darwinium develops a decision technology platform to match security, fraud, and customer experience. It utilizes integrated machine learning, orchestration, and analytics to safeguard mobile apps, websites, and APIs against advanced automated attacks by protecting customer privacy and minimizing risk exposure with anonymization, masking, and secure computing techniques.","Financial Services, Information Technology, Payments, Privacy and Security",3.0,Early Stage Venture,2023-10-18,18000000.0,Series A,28549991.0,Private,,,,,,3,49,False
257,BetterOmics,2020-01-01,https://www.betteromics.com,"Redwood City, California, United States","Analytics, Computer, Software",11-50,603,"BetterOmics is a SaaS platform that empowers professionals in the life sciences industry with cutting-edge AI and computational techniques. Betteromics is implemented as a Private SaaS within your Virtual Private Cloud (VPC), allowing you to establish connections across all your data sources. Betteromics also enables every role within your team to access a centralized, objective source of truth, empowering them with the ability to create accurate and reliable descriptions. Established by experienced executives from Google and GRAIL, the company comprises a group of dedicated professionals driven by a common mission. They bring together expertise from academia, science, and technology sectors.","Consumer Electronics, Data and Analytics, Hardware, Software",1.0,Early Stage Venture,2023-10-26,20000000.0,Series A,20000000.0,Private,,,,,,4,50,False
260,Loop,2021-01-01,https://loop.com,"San Francisco, California, United States","FinTech, Information Technology, Logistics, Payments, SaaS",,608,Loop develops a logistics payments platform that ingests data and streamlines shipment document capture. It instantly matches shipment invoices to pricing agreements.,"Financial Services, Information Technology, Payments, Software, Transportation",3.0,Early Stage Venture,2023-10-03,35000000.0,Series B,65000000.0,Private,,,,,,3,51,False
261,Typeface,2022-05-01,https://www.typeface.ai,"San Francisco, California, United States","Artificial Intelligence, Content, Enterprise Software, Software",11-50,611,"Typeface is a generative AI application for creating enterprise content. Enterprises can now create on-brand content faster combining content velocity with brand personalization and control. It offers self-service content development solutions for the entire lifecycle, allowing every employee to create captivating content with ease, speed, and brand authenticity.","Artificial Intelligence, Data and Analytics, Media and Entertainment, Science and Engineering, Software",2.0,Early Stage Venture,2023-06-30,100000000.0,Series B,165000000.0,Private,,,,,,2,52,False
263,Check,2019-01-01,https://www.checkhq.com/,"New York, New York, United States","Information Technology, Payments, SaaS, Software",101-250,613,"Check is a payroll infrastructure startup that lets people embed payroll directly in their vertical SaaS, HR, or time-tracking platform. The company offers all the building blocks necessary to build a fully customizable payroll product, with an API, modular white-label onboarding components, and a dashboard to manage it all.","Financial Services, Information Technology, Payments, Software",4.0,Late Stage Venture,2022-02-16,75000000.0,Series C,119000000.0,Private,,,,,,5,53,False
272,Klu.ai,2022-10-15,https://klu.ai,"San Francisco, California, United States","PaaS, SaaS",1-10,627,"Klu.ai is a generative AI platform that simplifies the process of designing, deploying, and optimizing AI applications. The company integrates major large language models (LLMs) such as Anthropic Claude, Azure OpenAI, GPT-4, and over 15 other models, enabling rapid prompt/model experimentation, data gathering, and user feedback. The platform offers features like Klu Actions for content generation, business operations workflows, content analysis, and summarization, as well as optimization techniques for A/B testing and fine-tuning support for models like OpenAI's GPT-3.5 Turbo and GPT-4. Klu.ai is committed to data privacy and security, providing data obfuscation and redaction features to protect sensitive information. Klu.ai is founded by Stephen M. Walker II in 2022 and is located in San Francisco, California.",Software,2.0,Seed,2023-10-24,1700000.0,Pre-Seed,1700000.0,Private,,,,,,1,54,False
280,Melio,2018-07-01,https://www.meliopayments.com,"New York, New York, United States","B2B, Financial Services, FinTech, Payments",251-500,654,"Melio is a fintech company that gives small businesses a way to digitally manage their business-to-business payments and receivables. It was built to help small businesses keep up with business. A B2B payments experience that not only saves time but also significantly improves cash flow. A payment workflow so simple it helps businesses focus on their customers, not their back office. It was founded in 2018 and is based in New York, New York.","Financial Services, Other, Payments",5.0,Late Stage Venture,2021-09-14,250000000.0,Series D,504000000.0,Private,,,,,,5,55,False
281,Doceree,2019-01-01,https://doceree.com,"Parsippany, New Jersey, United States","Advertising, Analytics, Health Care, Marketing, Software",101-250,655,"Doceree is a healthcare marketing technology company. They specialize in providing a platform and solutions for pharmaceutical and healthcare brands to connect with healthcare professionals (HCPs). Doceree's platform may include features like targeted advertising, data analytics, and tools to help pharmaceutical companies and healthcare brands effectively reach and engage with healthcare professionals in a compliant and efficient manner.","Advertising, Data and Analytics, Health Care, Sales and Marketing, Software",5.0,Early Stage Venture,2023-09-27,35000000.0,Series B,47000000.0,Private,,,0,1,,5,56,False
285,Luma AI,2021-09-01,https://lumalabs.ai/,"Palo Alto, California, United States","3D Technology, Artificial Intelligence, Augmented Reality, Computer Vision, Video Games, Virtual Reality",11-50,661,Luma is an AI company building the future of 3D.,"Artificial Intelligence, Data and Analytics, Gaming, Hardware, Science and Engineering, Software",2.0,Early Stage Venture,2023-03-20,20000000.0,Series A,25500000.0,Private,,,,,,2,57,False
286,Genesis Therapeutics,2019-11-01,https://www.genesistherapeutics.ai,"South San Francisco, California, United States","Artificial Intelligence, Biotechnology, Information Technology",51-100,662,"Genesis Therapeutics is a company that has its roots in academic research, which serves as the foundational element of its growing portfolio of AI technologies. The company employs a combination of innovative deep neural networks, biophysical simulation techniques, and highly scalable computing infrastructure. This amalgamation of technologies is geared towards achieving remarkable results in molecular generation and property prediction, particularly in the field of drug discovery and molecular design. Established in 2019 and headquartered in South San Francisco, California, Genesis Therapeutics focuses on leveraging innovative AI methodologies to enhance the efficiency and accuracy of molecular research. The company's approach holds promise in revolutionizing how molecules are generated and analyzed, potentially leading to advancements in drug development and related fields.","Artificial Intelligence, Biotechnology, Data and Analytics, Information Technology, Science and Engineering, Software",5.0,Early Stage Venture,2023-08-21,200000000.0,Series B,256100000.0,Private,,,,,,4,58,False
287,Orum.io,2019-01-01,https://orum.io/,"New York, New York, United States","Financial Services, FinTech, Machine Learning, Payments",11-50,663,"Orum is the simplest API for fast, reliable payments. Orum’s API solution delivers access to all major rails – RTP, FedNow, Same Day ACH, ACH, and Wires – and now instant bank account verification. Orum allows businesses to launch instant payments and instant bank account verification in just days, without costly bank integrations or prolonged compliance. This in turn empowers businesses and banks to launch new payment experiences that attract and monetize more customers. Founded by Stephany Kirkpatrick and led by expert fintech operators from LearnVest, Square, N26, Klarna, Marqeta, and Stash, Orum has raised over $82M from leading investors, including Accel, Canapi, Bain Capital Ventures, Inspired Capital, Homebrew, Acrew, BoxGroup, Clocktower Ventures, Primary Ventures and American Express Ventures. We provide the technology and expertise required to power a better financial system where everyone has the freedom to build to their potential. To learn more, visit Orum.io.","Artificial Intelligence, Data and Analytics, Financial Services, Payments, Software",3.0,Early Stage Venture,2021-06-29,56000000.0,Series B,82200000.0,Private,,,0,1,,5,59,False
