,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid
377,Lama AI,2022-01-01,https://www.lama.ai,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Software","Banking, Commercial Lending, Finance, Financial Services, FinTech, Lending, Machine Learning",14845.0,"Lama AI helps to grow business loan portfolios and approve more customers using AI. Lama AI helps small and medium businesses grow through fair, transparent capital. The company is headquartered in NYC, US with an R&D center in Tel Aviv, Israel.",11-50,1.0,Seed,2022-10-27,9000000.0,Seed,9000000.0,2.0,11-50,Private,,,,,,0,2,2022,370
393,JustiFi,2021-01-01,http://www.justifi.ai,"Minneapolis, Minnesota, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Embedded Software, Financial Services, FinTech, Insurance, Intelligent Systems, Lending, Payments, Software",14948.0,"Built to free you up, not lock you in. With JustiFi embedded infrastructure, your fintech opportunity is wide open. Hold onto your data and revenue to maximize the value of every customer, all with one partner and one seamless integration.",11-50,2.0,Seed,2022-04-26,4000000.0,Seed,10600000.0,3.0,11-50,Private,,,0.0,1,,0,3,2021,385
398,Sailes,2018-07-04,https://sailes.com,"Kansas City, Missouri, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning",14959.0,"Saile uses artificial intelligence (AI) to help sales leaders spend less time searching and more time selling. Through Digital Labor, its patent-pending Sailebots reduce manual prospecting by millions of tasks each year, while increasing revenue opportunities. Sailebots are currently deployed in 29 countries and multiple languages, allowing sales leaders to automate their entire prospecting lifecycle, including finding contacts, setting meetings, cleansing data, and reading and summarizing prospective company reports and documents. Saile is headquartered in Kansas City, Missouri, and has employees all over the world.",11-50,2.0,Early Stage Venture,2023-09-14,5100000.0,Series A,6450000.0,1.0,11-50,Private,,,0.0,2,Computing; Calculating,0,5,2018,390
405,Neosec,2021-01-01,https://www.neosec.com,"Palo Alto, California, United States","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer, Software",14996.0,"Discover every API in your enterprise–including north-south, east-west, shadow, legacy, rogue, zombie, partner, authenticated, unauthenticated, and more. To see the entire API landscape, breadth of discovery matters most. Neosec uses existing API activity data to perform discovery that doesn’t require time-consuming deployment of per-app sensors or sidecars. Neosec is easy for security teams to deploy, and delivers the broadest coverage that discovers every API and service. Neosec was established in 2021 by Ziv Sivan in Palo Alto, California.",1-10,2.0,M&A,2021-09-14,15000000.0,Series A,20700000.0,2.0,1-10,Private,,,0.0,1,,0,3,2021,397
426,Truewind,2022-01-01,https://www.truewind.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), FinTech, Information Technology, Machine Learning, Software",15107.0,,1-10,2.0,Seed,2023-09-20,3000000.0,Seed,3500000.0,2.0,1-10,Private,,,0.0,1,,0,2,2022,418
448,Sensible,2020-01-01,https://www.sensible.so,"San Francisco, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Software","Developer APIs, Developer Platform, Developer Tools, Document Management, Enterprise Applications, InsurTech, Natural Language Processing",15243.0,"Sensible is a document orchestration platform that transforms documents into structured data. The platform's infrastructure uses AWS to provide robust scalability and performance. Multi-region deployment and SLAs for enterprise customers. Sensible is accessing data in documents is as simple as calling an API. With Sensible's document query language, SenseML, they can avoid the complexities and headaches of PDF parsing.",11-50,1.0,Seed,2022-11-17,6500000.0,Seed,6500000.0,2.0,11-50,Private,,,,,,0,4,2020,439
461,Rightbot,2020-06-01,https://www.rightbot.com/,"Newark, New Jersey, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Robotics, Warehouse Automation, Warehousing",15301.0,Rightbot's Sherlock automates unloading and loading of floor loaded containers.,1-10,6.0,Seed,2023-12-05,6250000.0,Seed,6750000.0,2.0,1-10,Private,,,,,,0,3,2020,452
467,Exer Labs,2019-01-01,http://www.exer.ai/,"Denver, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software, Sports","Artificial Intelligence (AI), Fitness, Health Care, Information Services, Information Technology, Software",15344.0,Exer Labs uses AI on mobile and tablet devices as well as computer vision to help fitness users experience a more interactive and affordable at-home workout.,11-50,3.0,Seed,2022-11-08,6500000.0,Seed,11000000.0,3.0,11-50,Private,,,2.0,1,,0,5,2019,458
469,Telmai,2020-12-11,https://www.telm.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Cloud Data Services, Data Mining, Machine Learning",15354.0,"Telmai is a data observability platform for modern data stacks. Telmai automates scanning complex data stored in Datawarehouse, Datalakes, or event streams to find anomalies.  The company develops a centralized data observability platform for the data teams to detect and investigate anomalies in real-time proactively.",1-10,2.0,Seed,2023-06-15,5500000.0,Seed,5625000.0,2.0,1-10,Private,,,,,,0,3,2020,460
470,Kraftful,2019-01-01,https://www.kraftful.com,"San Francisco, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Design, Internet Services, Other, Science and Engineering, Software","Analytics, Apps, Artificial Intelligence (AI), Enterprise Software, Internet, Product Management, Product Research, Software",15358.0,Kraftful provides business owners with an AI analysis of customer feedback to learn what they need and how to improve the product.,1-10,3.0,Seed,2022-02-08,2000000.0,Seed,3150000.0,2.0,1-10,Private,,,0.0,2,,0,5,2019,461
472,Clearbrief,2020-01-01,https://clearbrief.com,"Seattle, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Government and Military, Information Technology, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Document Management, GovTech, InsurTech, Legal Tech",15362.0,Clearbrief leverages cutting-edge AI and NLP to transform legal writing and the justice system.,1-10,1.0,Seed,2021-08-26,3500000.0,Seed,3500000.0,1.0,1-10,Private,,,8.0,0,,0,4,2020,463
483,Nabla Bio,2020-05-29,https://www.nabla.bio,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Biopharma, Biotechnology, Machine Learning",15414.0,Nabla is an autoreverse platform that enables the rapid discovery of previously unattainable protein variants with supernatural qualities. Nabla Bio makes new medicines and improve nutrition by engineering novel proteins.,1-10,4.0,Seed,2021-12-06,11000000.0,Seed,11256000.0,2.0,1-10,Private,,,,,,0,3,2020,474
484,Modicus Prime,2020-04-20,https://modicusprime.com/,"La Porte, Indiana, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Hardware, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biopharma, Computer Vision",15415.0,"Modicus Prime's computer vision software automates biologics image analysis and is designed to solve for the cost, legal, and waste liabilities from product quality failures across R&D and manufacturing.",1-10,5.0,Seed,2024-02-07,0.0,Seed,1200000.0,1.0,1-10,Private,,,1.0,0,,1,3,2020,475
494,Frame,2022-01-27,https://www.frame.so/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), B2B, Machine Learning, Productivity Tools, SaaS, Software",15474.0,"Frame is an AI-powered suite of minimalist collaboration apps built to empower cross-teams and cross-department work in a beautiful minimalist digital environment. Our suite contains any apps sitting across departments, like notes, tasks, whiteboard, and processes, and is simple, unified, interoperable, and team-ready. Follow us here: https://bento.me/joinframe",11-50,1.0,Seed,2022-09-02,1542000.0,Pre-Seed,1542000.0,1.0,11-50,Private,,,,,,0,2,2022,485
496,Nextdata,2022-01-01,https://www.nextdata.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Information Technology, Internet",15489.0,Nextdata offers an operating system for decentralized data at scale on an AI platform.,1-10,1.0,Seed,2023-09-28,12000000.0,Seed,12000000.0,,1-10,Private,,,,,,0,2,2022,487
499,GenesisAI,2018-07-01,https://www.genesisai.io/,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Artificial Intelligence (AI), Asset Management, Developer Tools, E-Commerce, Hedge Funds, Machine Learning, Marketplace, Software",15494.0,"GenesisAI is a machine learning marketplace for AI products and services. It connects companies in need of AI services, data, and models with companies interested to monetize their AI tech. By linking AI services with each other and increasing the supply of AI services, GenesisAI provides a web platform that offers low-cost AI services. This makes AI technology more efficient and affordable for businesses. Their platform enables different AIs to communicate with each other, exchange data, and trade services. Anyone can develop and purchase AI services. GenesisAI platform allows software engineers to discover, test, and integrate various AI-related APIs.  GenesisAI was established in 2018 and is based in Boston, Massachusetts, USA and Miami, Florida, USA.",11-50,6.0,Early Stage Venture,2022-12-30,200000.0,Series A,5110000.0,1.0,11-50,Private,,,,,,0,5,2018,490
