,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped
8174,WeMeta,2021-01-01,https://wemeta.world,"New York, New York, United States","Blockchain and Cryptocurrency, Internet Services, Media and Entertainment, Other, Software","Blockchain, Internet, Metaverse",58619.0,"WeMeta is the go-to platform for all things, from Community Leaderboards to Activity Feeds, to buying, selling, and trading digital land.",1-10,1.0,Seed,2021-11-03,1100000.0,Seed,1100000.0,3.0,1-10,Private,,,,,,0,3,2021,7950,True
12791,ShopLook,2018-05-04,https://shoplook.io/home,"San Francisco, California, United States","Clothing and Apparel, Community and Lifestyle, Design, Internet Services, Media and Entertainment","Content Creators, Fashion, Graphic Design, Lifestyle, Social Network",91991.0,"We believe creative self-expression has the power to heal, enable discovery, and build inclusive communities. We are building a future where everyone is inspired to share their creative voice and through it, build communities that spark joy, confidence, and healing. See this in action for yourself by downloading our app and joining the 1M+ creators that are using our easy-to-use canvas to create mood boards, vision boards, outfits, and more.",1-10,2.0,Seed,2022-04-07,150000.0,Pre-Seed,150000.0,1.0,1-10,Private,,,,,,0,5,2018,12325,True
10034,The Endowment Project,2022-01-01,https://www.endowmentproject.com/,"Richmond, Virginia, United States","Education, Information Technology, Software","EdTech, Education, Information Technology",71453.0,"The Endowment Project is a purpose-driven for-profit education technology company building philanthropic infrastructure for public schools. Its technology- and the human resource-enabled platform is designed to help public high schools build communities from which capital is raised, managed, and deployed to enhance the educational experience for millions of students, faculty, and staff at public high schools across the U.S.",1-10,1.0,,2023-03-10,4500000.0,Venture - Series Unknown,4500000.0,2.0,1-10,Private,,,,,,1,2,2022,9724,True
16005,XworX Inc.,2018-07-20,https://xworxinc.com/,"San Diego, California, United States","Administrative Services, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care, Manufacturing, Other, Professional Services, Sales and Marketing, Software","Beauty, Cannabis, Consulting, Consumer, Manufacturing, Marketing, Medical Device, Open Source, Outsourcing, Packaging Services",118444.0,"XworX operates as a product development, sourcing and product management company.  Founded in 2018, the company is headquartered in San Diego, California, United States.",1-10,1.0,Private Equity,2018-07-31,9000000.0,Private Equity,9000000.0,1.0,1-10,Private,,,,,,0,5,2018,15302,True
6157,Holaplex,2021-01-01,https://www.holaplex.com/,"New York, New York, United States","Blockchain and Cryptocurrency, Commerce and Shopping, Other","Blockchain, Marketplace",46072.0,"Holaplex provides independent artists, musicians, and creators with simple, free tools to make and sell NFTs while providing NFT buyers and collectors with over 2,000 stores to discover up-and-coming projects and fast-rising artists. In addition to enabling creators to build their own NFT stores and marketplaces quickly, with no-code, Holaplex leverages and contributes to the NFT protocol Metaplex, which delivers fast, low-cost NFT creation on the Solana blockchain.",1-10,2.0,,2023-01-01,0.0,Venture - Series Unknown,6000000.0,1.0,1-10,Private,,,,,,2,3,2021,6016,True
7516,Courier,2019-04-01,https://www.courier.com,"San Francisco, California, United States","Information Technology, Internet Services, Messaging and Telecommunications, Software","Developer APIs, Internet, Messaging, Software",54379.0,"Courier offers an API that lets developers intelligently route user notifications across their existing channels – like SendGrid, Twilio, Slack, and Facebook Messenger – using factors like ""is the user online?"" and ""which channel has produced the most engagement for this user previously?""",11-50,5.0,Early Stage Venture,2022-06-22,35000000.0,Series B,47500000.0,1.0,11-50,Private,,,,,,0,4,2019,7323,True
12711,Aviridi,2021-05-05,http://www.aviridi.co,"Norristown, Pennsylvania, United States","Biotechnology, Manufacturing, Science and Engineering","Biotechnology, Industrial Manufacturing",91409.0,"Aviridi was founded as a joint venture with BioSynthesis Company in order to make natural, high-value ingredients more accessible through Advanced Fermentation Technology. It invests opportunistically in value-added industrial and life sciences real estate. Exurban submarkets, according to Aviridi, represent the most compelling opportunities available today.",1-10,2.0,Seed,2021-06-01,4500000.0,Seed,9300000.0,4.0,1-10,Private,,,,,,0,2,2021,12250,True
838,Octai,2022-08-11,https://octai.com/,"Lewes, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics",17149.0,Data-driven technology solutions with state-of-the-art artificial intelligence methods,11-50,1.0,Seed,2022-08-11,7000000.0,Seed,7000000.0,2.0,11-50,Private,,,,,,0,1,2022,821,True
1417,Humanity,2019-01-01,https://humanity.health/,"Boston, Massachusetts, United States","Health Care, Mobile","Health Care, Medical, mHealth, Personal Health, Wellness",20057.0,"Humanity is a healthcare company that aims to extend the healthspan of humanity. It develops a software application designed to provide information on how to stop the aging process. The company's service allows people to try different interventions and solutions to help move those biomarkers in a positive direction and thus reduce, and in some cases, stop the loss of function and thus the aging damage. Founded in 2019 by Peter Ward and Michael Geer, Humanity is headquartered in Boston, Massachusetts.",11-50,2.0,Seed,2021-08-04,2500000.0,Seed,5000000.0,2.0,11-50,Private,,,0.0,1.0,,0,5,2019,1390,True
1611,Tangible,2021-11-16,https://tangiblematerials.com/,"San Francisco, California, United States","Information Technology, Real Estate, Software","Construction, Information Technology, Software",21096.0,"Tangible is a climate technology company focused on building sustainable materials that are not harmful to the environment. Tangible is a unified software platform that catalyzes the adoption of sustainable building materials by allowing real estate developers, architects, and contractors to seamlessly identify, manage, and report on products that meet their carbon, environmental, and social goals. Founded in 2021 by Nicole Granath and Anneli Tostar, Tangible is headquartered in San Francisco, California, United States.",1-10,3.0,Seed,2023-05-16,3000000.0,Seed,3000000.0,2.0,1-10,Private,,,,,,0,2,2021,1581,True
13328,Transition Bio,2020-01-01,https://www.transitionbio.com/,"Cambridge, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Health Diagnostics, Medical",96064.0,"Transition Bio provides condensate technology for drug discovery and diagnostics. The company focuses on the discovery, analysis, and modulation of biological condensates, propelled by a differentiated technological capability that generates expansive drug development opportunities in a hypothesis-free manner.",11-50,2.0,Early Stage Venture,2022-06-02,50000000.0,Series A,50000000.0,4.0,11-50,Private,,,,,,0,4,2020,12827,True
9214,Vectrix,2020-06-01,https://www.vectrix.io,"San Francisco, California, United States","Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Infrastructure, Cloud Security, Network Security, SaaS, Security, Software",65778.0,Vectrix helps IT and security teams detect security issues across their SaaS applications. It looks at both data and users in SaaS apps to alert teams to issues ranging from unauthorized user access and file exposure to misconfigurations and shadow IT.,1-10,2.0,M&A,2020-10-08,2000000.0,Seed,2150000.0,2.0,1-10,Private,,,,,,0,3,2020,8950,True
7942,Grouport,2020-01-01,https://grouporttherapy.com/,"New York, New York, United States",Health Care,"Health Care, Medical, Wellness",57281.0,"Grouport is an online group therapy service that's making group treatment widely accessible for chronic psychological disorders. The company was founded in 2019 and is based in New York, United States.",11-50,2.0,,2022-11-03,0.0,Venture - Series Unknown,2000000.0,2.0,11-50,Private,,,0.0,2.0,,2,4,2020,7730,True
2685,ReadySpaces,2019-09-01,https://ReadySpaces.com,"Los Angeles, California, United States","Real Estate, Transportation","Commercial Real Estate, Coworking, Self-Storage, Warehousing",26654.0,"ReadySpaces supplies the next generation of turnkey co-working industrial space designed to provide companies with the infrastructure to meet the dynamic needs of their unique businesses.   With locations throughout the U.S. and in Canada, we provide a collaborative work environment with a combination of office, warehouse/production, and storage space.  Customers enjoy amenities and equipment such as forklifts, loading docks, WiFi and conference rooms, as well as flexible terms - giving them unparalleled flexibility and ability to grow.",11-50,2.0,,2022-11-17,20000000.0,Debt Financing,36200000.0,2.0,11-50,Private,,,0.0,1.0,,1,4,2019,2633,True
8321,Roam,2021-01-01,https://ro.am,"Brooklyn, New York, United States","Hardware, Internet Services, Software","Cloud Infrastructure, Productivity Tools, Software, Web Development",59562.0,"Roam is a virtual office designed to bring your whole distributed company together in one headquarters. It transforms company productivity with faster, shorter meetings, enhances culture by creating a feeling of presence together, and improves efficiency with an all-in-one app at an affordable price. Roam is the office of tomorrow, available today.",11-50,2.0,Early Stage Venture,2022-11-02,40600000.0,Series A,51200000.0,,11-50,Private,,,2.0,15.0,Musical Instruments; Acoustics,0,3,2021,8092,True
253,Slingshot Finance,2020-09-01,https://slingshot.finance,"San Francisco, California, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Software",14163.0,"Slingshot is a web3 company developing and using decentralized technologies to help retail users access and interact with digital assets in a secure, trustless and self-sovereign way. Available on Web, Android and iOS, Slingshot combines the performance and ease of centralized platforms, with the openness, transparency and security of decentralized finance. Users can buy, sell, swap or bridge over 50k cryptocurrencies at the best prices Slingshot aggregates across decentralized exchanges. Slingshot is feature packed with a choice of wallets, live prices and charts, portfolio tracking, live chat, collectibles, rewards, top-notch support and much more.  Slingshot was founded in 2020 and is a remore-first company headquartered in San Francisco, California, United States.",11-50,3.0,Early Stage Venture,2022-11-30,5249998.0,Series A,23349998.0,3.0,11-50,Private,,,,,,0,3,2020,250,True
7557,Woolsey Pharmaceuticals,2019-01-01,https://www.woolseypharma.com,"New York, New York, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Health Diagnostics, Medical, Pharmaceutical",54721.0,"Woolsey Pharmaceuticals is a pharmaceutical company that specializes in reinventing ways to treat some of the world’s most challenging diseases. The company's approach allows them to accelerate the delivery of medicines for the benefit of all humankind. The company was founded in 2019 and is headquartered in New York, United States.",1-10,3.0,,2021-10-15,19658498.0,Venture - Series Unknown,28255499.0,2.0,1-10,Private,,,27.0,0.0,Medical Or Veterinary Science; Hygiene,1,5,2019,7363,True
